#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
f41c6d89a0           -            555 PET.aln              -            309   9.2e-08   26.5   0.0   1   1   3.4e-09   1.2e-07   26.1   0.0    69   186   107   237    45   308 0.79 -
54b0f51654           -            548 PET.aln              -            309   9.6e-08   26.5   0.0   1   1   3.4e-09   1.2e-07   26.1   0.0    69   186   107   237    45   316 0.80 -
03f3222488           -            548 PET.aln              -            309   1.2e-07   26.2   0.0   1   1   4.5e-09   1.6e-07   25.7   0.0    68   170   106   218    38   287 0.80 -
e542ce1613           -            545 PET.aln              -            309   1.5e-07   25.8   0.0   1   1   5.8e-09   2.1e-07   25.4   0.0    39   185    62   233    12   286 0.73 -
114e6d2abe           -            545 PET.aln              -            309   4.4e-07   24.3   0.0   1   1   1.7e-08   5.9e-07   23.9   0.0    69   173   101   218    21   284 0.74 -
afb51f2a48           -            545 PET.aln              -            309   4.6e-07   24.2   0.0   1   1   1.9e-08   6.9e-07   23.7   0.0    40   169    63   214     8   261 0.77 -
9c28e36175           -            545 PET.aln              -            309   6.1e-07   23.8   0.0   1   1   2.3e-08   8.2e-07   23.4   0.0    69   185   101   233    26   286 0.74 -
4fd7439f5f           -            545 PET.aln              -            309   1.2e-06   22.9   0.0   1   1   4.9e-08   1.7e-06   22.3   0.0    39   169    62   214     8   266 0.76 -
59bb4d8994           -            545 PET.aln              -            309   1.2e-06   22.9   0.0   1   1     5e-08   1.8e-06   22.3   0.0    39   169    62   214     8   260 0.76 -
6b5630735c           -            726 PET.aln              -            309   0.00027   15.2   0.0   1   1   1.4e-05   0.00051   14.2   0.0    69   168   514   635   486   647 0.81 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /gpfs/work/bio/yueqingxing22/igem/HMM/hmm_profiles/plastic_families/hmm/PET.hmm
# Target file:     /gpfs/work/bio/yueqingxing22/igem/HMM/data/unknown_sequences/proteins_converted.fasta
# Option settings: hmmsearch --tblout /gpfs/work/bio/yueqingxing22/igem/HMM/annotation_results/plastic_families/PET/PET.tblout.tsv --domtblout /gpfs/work/bio/yueqingxing22/igem/HMM/annotation_results/plastic_families/PET/PET.domtblout.tsv --cpu 4 /gpfs/work/bio/yueqingxing22/igem/HMM/hmm_profiles/plastic_families/hmm/PET.hmm /gpfs/work/bio/yueqingxing22/igem/HMM/data/unknown_sequences/proteins_converted.fasta 
# Current dir:     /gpfs/work/bio/yueqingxing22/igem/HMM/scripts
# Date:            Thu Aug 28 12:47:14 2025
# [ok]
