#                                                                    --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name             accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#     ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|I6WZK7|MMCO_MYCTU      -          CU_oxidase.aln       -           2.2e-143  483.1   1.8  5.8e-143  481.8   1.8   1.5   1   1   0   1   1   1   1 Multicopper oxidase MmcO OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=mmcO PE=1 SV=1
sp|P59571|COPA_PSESM      -          CU_oxidase.aln       -           2.6e-136  459.8  13.9    6e-136  458.7  13.9   1.9   1   1   0   1   1   1   1 Copper resistance protein A homolog OS=Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000) OX=223283 GN=copA PE=3 SV=1
sp|P12374|COPA_PSEUB      -          CU_oxidase.aln       -           1.5e-135  457.3   1.5   6.3e-93  316.8   0.1   4.0   1   1   3   4   4   2   2 Copper resistance protein A OS=Pseudomonas syringae pv. tomato OX=323 GN=copA PE=1 SV=1
sp|Q47452|PCOA_ECOLX      -          CU_oxidase.aln       -           4.9e-135  455.6  23.3  2.4e-133  450.1  23.3   3.6   1   1   0   1   1   1   1 Copper resistance protein A OS=Escherichia coli OX=562 GN=pcoA PE=3 SV=1
sp|Q96WM9|LAC2_BOTFU      -          CU_oxidase.aln       -            6.5e-52  181.5   2.2   4.3e-28  102.9   0.0   3.1   2   1   0   3   3   3   3 Laccase-2 OS=Botryotinia fuckeliana OX=40559 GN=lcc2 PE=2 SV=1
sp|J9VQZ4|LAC2_CRYNH      -          CU_oxidase.aln       -            2.5e-50  176.3   1.9   3.2e-27  100.1   0.1   3.1   3   0   0   3   3   3   3 Laccase-2 OS=Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487) OX=235443 GN=LAC2 PE=3 SV=2
sp|J5JH35|OPS5_BEAB2      -          CU_oxidase.aln       -            1.8e-49  173.4   1.2   9.2e-25   92.0   0.1   3.1   3   0   0   3   3   3   3 Oxidoreductase OpS5 OS=Beauveria bassiana (strain ARSEF 2860) OX=655819 GN=OpS5 PE=1 SV=1
sp|Q02079|LAC3_THACU      -          CU_oxidase.aln       -            1.9e-48  170.1   3.4   2.6e-19   74.0   0.0   3.7   2   1   0   3   3   3   3 Laccase-3 OS=Thanatephorus cucumeris OX=107832 GN=LCC3 PE=2 SV=1
sp|Q02075|LAC2_THACU      -          CU_oxidase.aln       -            5.1e-48  168.7   0.9   1.6e-20   78.0   0.1   3.5   3   1   1   4   4   3   3 Laccase-2 OS=Thanatephorus cucumeris OX=107832 GN=LCC2 PE=2 SV=1
sp|E9R598|FETC_ASPFU      -          CU_oxidase.aln       -            2.3e-47  166.5   3.1   4.2e-24   89.8   0.0   3.1   3   0   0   3   3   3   3 Iron transport multicopper oxidase fetC OS=Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) OX=330879 GN=fetC PE=2 SV=1
