#                                                                    --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name             accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#     ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|A0A0K8P6T7|PETH_PISS1  -          PBS.aln              -            7.1e-71  244.9   8.1     8e-71  244.7   8.1   1.0   1   0   0   1   1   1   1 Poly(ethylene terephthalate) hydrolase OS=Piscinibacter sakaiensis OX=1547922 GN=ISF6_4831 PE=1 SV=1
sp|P19833|LIP1_MORS1      -          PBS.aln              -            1.4e-65  227.5   0.2   1.5e-65  227.4   0.2   1.0   1   0   0   1   1   1   1 Lipase 1 OS=Moraxella sp. (strain TA144) OX=77152 GN=lip1 PE=1 SV=1
sp|G8GER6|PETH1_THEFU     -          PBS.aln              -            3.7e-50  176.8   0.0   4.4e-50  176.6   0.0   1.0   1   0   0   1   1   1   1 Cutinase cut1 OS=Thermobifida fusca OX=2021 GN=cut_1 PE=1 SV=1
sp|Q47RJ7|PETH1_THEFY     -          PBS.aln              -            3.7e-50  176.8   0.0   4.4e-50  176.6   0.0   1.0   1   0   0   1   1   1   1 Cutinase OS=Thermobifida fusca (strain YX) OX=269800 GN=Tfu_0882 PE=1 SV=1
sp|Q9L2J6|BHETH_STRCO     -          PBS.aln              -            4.8e-50  176.4   0.1   5.9e-50  176.1   0.1   1.0   1   0   0   1   1   1   1 Bis(hydroxyethyl) terephthalate hydrolase OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=bdeA PE=1 SV=1
sp|Q47RJ6|PETH2_THEFY     -          PBS.aln              -            6.2e-50  176.0   0.1   7.6e-50  175.8   0.1   1.0   1   0   0   1   1   1   1 Cutinase OS=Thermobifida fusca (strain YX) OX=269800 GN=TfH PE=1 SV=1
sp|Q6A0I4|PETH2_THEFU     -          PBS.aln              -            6.2e-50  176.0   0.1   7.6e-50  175.8   0.1   1.0   1   0   0   1   1   1   1 Cutinase cut2 OS=Thermobifida fusca OX=2021 GN=cut2 PE=1 SV=1
sp|F7IX06|PETH2_THEAE     -          PBS.aln              -            8.7e-50  175.6   0.2   1.1e-49  175.3   0.2   1.0   1   0   0   1   1   1   1 Cutinase est2 OS=Thermobifida alba OX=53522 GN=est2 PE=1 SV=1
sp|D4Q9N1|PETH1_THEAE     -          PBS.aln              -            2.2e-49  174.2   0.3   2.8e-49  173.9   0.3   1.0   1   0   0   1   1   1   1 Cutinase est1 OS=Thermobifida alba OX=53522 GN=est1 PE=1 SV=2
sp|Q99174|CUTI_FUSSC      -          PBS.aln              -            3.9e-49  173.4   0.3   4.3e-49  173.3   0.3   1.0   1   0   0   1   1   1   1 Cutinase OS=Fusarium solani subsp. cucurbitae OX=2747967 GN=CUTA PE=3 SV=1
sp|P0DX29|PETH1_AMYMS     -          PBS.aln              -            7.2e-49  172.6   1.3   8.8e-49  172.3   1.3   1.0   1   0   0   1   1   1   1 Cutinase OS=Amycolatopsis mediterranei (strain S699) OX=713604 GN=cut1 PE=1 SV=1
